id,english,hindi,hindi_transliteration,tamil,tamil_transliteration,telugu,telugu_transliteration,bengali,bengali_transliteration,malayalam,malayalam_transliteration,kannada,kannada_transliteration,marathi,marathi_transliteration,gujarati,gujarati_transliteration,punjabi,punjabi_transliteration,hint,category
13,Can you repeat that?,क्या आप इसे दोहरा सकते हैं?,kya aap ise dohra sakte hain?,அதை மறுபடியும் சொல்ல முடியுமா?,athai marupadiyum solla mudiyuma?,దయచేసి మళ్లీ చెప్పగలరా?,dayachesi malli cheppagalarā?,আপনি আবার বলতে পারেন?,apni abar bolte paren?,ദയവായി വീണ്ടും പറയാമോ?,dayavaayi veendum parayaamo?,ಮತ್ತೆ ಹೇಳಬಹುದೇ?,matte helbahude?,पुन्हा सांगशील?,punha saangshil?,ફરી કહેશો?,phari kahesho?,ਕੀ ਤੁਸੀਂ ਦੁਬਾਰਾ ਕਹੋਗੇ?,ki tusi dubara kahoge?,request,conversation
14,I don't understand,मुझे समझ नहीं आया,mujhe samajh nahi aaya,எனக்கு புரியவில்லை,enakku puriyavillai,నాకు అర్థం కాలేదు,naaku ardham kaaledu,আমার বুঝতে অসুবিধা হচ্ছে,amar bujhte oshubidha hochhe,എനിക്ക് മനസ്സിലാകുന്നില്ല,enikku manassilakunilla,ನನಗೆ ಅರ್ಥವಾಗಲಿಲ್ಲ,nanage arthavaglilla,मला समजत नाही,mala samajat nahi,મને સમજાતું નથી,mane samajhatu nathi,ਮੈਨੂੰ ਸਮਝ ਨਹੀਂ ਆਈ,mainu samajh nahi aayi,confusion,conversation
15,What time is it?,समय क्या हुआ है?,samay kya hua hai?,இப்போது மணி எத்தனை?,ippodhu mani eththanai?,ఇప్పుడు సమయం ఎంత?,ippudu samayam enta?,এখন কয়টা বাজে?,ekhon koyta baje?,ഇപ്പോൾ സമയം എത്ര?,ippol samayam ethra?,ಈಗ ಸಮಯ ಎಷ್ಟು?,ega samaya eshtu?,आता किती वाजले?,aata kiti vajle?,હમણાં કેટલા વાગ્યા?,hamna ketla vagya?,ਹੁਣ ਕੀ ਵਕਤ ਹੋਇਆ?,hun ki vakt hoya?,question,information
16,Where is the bathroom?,बाथरूम कहाँ है?,bathroom kahan hai?,கழிப்பறை எங்கே?,kazhiparai enge?,బాత్రూమ్ ఎక్కడ ఉంది?,bathroom ekkada undi?,বাথরুম কোথায়?,bathroom kothay?,കുളിമുറി എവിടെ?,kulimuri evide?,ಬಾತ್ ರೂಂ ಎಲ್ಲಿದೆ?,baath room ellide?,बाथरूम कुठे आहे?,bathroom kuthe aahe,બાથરૂમ ક્યાં છે?,bathroom kya chhe?,ਬਾਥਰੂਮ ਕਿੱਥੇ ਹੈ?,bathroom kithe hai?,travel,travel
17,I need water,मुझे पानी चाहिए,mujhe paani chahiye,எனக்கு தண்ணீர் வேண்டும்,enakku thanneer vendum,నాకు నీరు కావాలి,naaku neeru kaavali,আমার পানি চাই,amar pani chai,എനിക്ക് വെള്ളം വേണം,enikku vellam venam,ನನಗೆ ನೀರು ಬೇಕು,nanage neeru beku,मला पाणी पाहिजे,mala paani pahije,મને પાણી જોઈએ,mane paani joie,ਮੈਨੂੰ ਪਾਣੀ ਚਾਹੀਦਾ ਹੈ,mainu paani chaahida hai,need,basic-needs
18,I am hungry,मुझे भूख लगी है,mujhe bhookh lagi hai,எனக்கு பசிக்கிறது,enakku pasikkirathu,నాకు ఆకలిగా ఉంది,naaku aakaliga undi,আমার খুব ক্ষিধে পেয়েছে,amar khub khide peyechhe,എനിക്ക് വിശക്കും,enikku vishakkum,ನನಗೆ ಹಸಿವು ಬಂದಿದೆ,nanage hasivu bandide,मला भूक लागली आहे,mala bhookh lagli aahe,મને ભૂખ લાગી છે,mane bhookh lagi chhe,ਮੈਨੂੰ ਭੁੱਖ ਲੱਗੀ ਹੈ,mainu bhukh laggi hai,need,basic-needs
19,I am thirsty,मुझे प्यास लगी है,mujhe pyaas lagi hai,எனக்கு தாகம்,enakku thaagam,నాకు దాహం వేసింది,naaku daaham vesindi,আমার তৃষ্ণা পেয়েছে,amar trishna peyechhe,എനിക്ക് ദാഹം തോന്നുന്നു,enikku daaham thonnunnu,ನನಗೆ ದಾಹವಾಗಿದೆ,nanage dhaahaagide,मला तहान लागली आहे,mala tahan lagli aahe,મને તરસ લાગી છે,mane taras lagi chhe,ਮੈਨੂੰ ਤ੍ਰਿਸ਼ਨਾ ਲੱਗੀ ਹੈ,mainu trishna laggi hai,need,basic-needs
20,Where do you live?,आप कहाँ रहते हैं?,aap kahan rehte hain?,நீங்கள் எங்கு வாழ்கிறீர்கள்?,neengal engu vaazhugireergal?,మీరు ఎక్కడ ఉంటారు?,meeru ekkada untaru?,আপনি কোথায় থাকেন?,apni kothay thaken?,നിങ്ങൾ എവിടെ താമസിക്കുന്നു?,ningal evide thamasikkunnu?,ನೀವು ಎಲ್ಲಲ್ಲಿ ವಾಸಿಸುತ್ತೀರಿ?,neevu ellalli vaasisuttiri?,तू कुठे राहतोस?,tu kuthe rahtos?,તમે ક્યાં રહે છો?,tame kya reho chho?,ਤੁਸੀਂ ਕਿੱਥੇ ਰਹਿੰਦੇ ਹੋ?,tusi kithe rehnde ho?,question,conversation
21,I live in Noida,मैं नोएडा में रहता हूँ,main Noida me rehta hoon,நான் நொய்டாவில் வசிக்கிறேன்,naan Noidaavil vasikkiren,నేను నోయిడాలో ఉంటాను,nenu Noida lo untanu,আমি নয়ডায় থাকি,ami noidaay thaaki,ഞാൻ നൊയ്ഡായിൽ താമസിക്കുന്നു,njan noidail thamasikkunnu,ನಾನು ನೋಯ್ಡಾದಲ್ಲಿ ವಾಸಿಸುತ್ತೇನೆ,naanu noidaadalli vaasisuttEne,मी नोएडामध्ये राहतो,mi noedaa madhye rahto,હું નોઇડામાં રહે છું,huṁ Noida mã rehũ chhũ,ਮੈਂ ਨੋਇਡਾ ਵਿੱਚ ਰਹਿੰਦਾ ਹਾਂ,main noida vich rehnda haan,introduction,information
22,What do you do?,आप क्या करते हैं?,aap kya karte hain?,நீங்கள் என்ன வேலை செய்கிறீர்கள்?,neengal enna velai seygireergal?,మీరు ఏం చేస్తారు?,meeru em chestaru?,আপনি কি করেন?,apni ki koren?,നിങ്ങൾ എന്ത് ചെയ്യുന്നു?,ningal enthu cheyyunnu?,ನೀವು ಏನು ಮಾಡುತ್ತೀರಿ?,neevu enu maaduttiri?,तू काय करतोस?,tu kaay kartos?,તમે શું કરો છો?,tame shu karo chho?,ਤੁਸੀਂ ਕੀ ਕਰਦੇ ਹੋ?,tusi ki karde ho?,question,conversation
23,I am a student,मैं छात्र हूँ,main chaatr hoon,நான் மாணவன்,naan maanavan,నేను విద్యార్థిని,nenu vidyarthini/vidyarthi,আমি একজন ছাত্র,ami ekjon chhatrô,ഞാൻ വിദ്യാർത്ഥിയാണ്,njan vidyarthiyaan,ನಾನು ವಿದ್ಯಾರ್ಥಿ,naanu vidyarthi,मी विद्यार्थी आहे,mi vidyarthi aahe,હું વિદ્યાર્થી છું,hu vidyarthi chhu,ਮੈਂ ਵਿਦਿਆਰਥੀ ਹਾਂ,main vidyarthi haan,introduction,introduction
24,Open the door,दरवाज़ा खोलें,darwaaza kholen,கதவைத் திறக்கவும்,kathavai thirakkavum,ద్వారం తెరవండి,dwaarum teravandi,দরজা খুলুন,dorja khulun,വാതിൽ തുറക്കുക,vaatil thurakkuka,ಬಾಗಿಲು ತೆರೆಯಿರಿ,baagilu tereyiri,दार उघडा,daar ughda,બારણા ખોલો,barnaa kholo,ਦਰਵਾਜ਼ਾ ਖੋਲ੍ਹੋ,derwaza kholho,command,command
25,Close the window,खिड़की बंद करें,khidki band karein,ஜன்னலை மூடுங்கள்,jannalai moodungal,కిటికీ మూసేయండి,kitiki mooseyandi,জানালা বন্ধ করুন,janala bondho korun,ജാലകം അടയ്ക്കുക,jaalakam adakkuka,ಕಿಟಕಿ ಮುಚ್ಚಿ,kitaki muchchi,खिडकी बंद करा,khidki band kara,બારી બંધ કરો,baari band karo,ਖਿੜਕੀ ਬੰਦ ਕਰੋ,khiṛki band karo,command,command
26,Turn left,बाएँ मुड़ें,baayen muden,இடது பக்கம் திரும்பவும்,idathu pakkam thirumbavum,ఎడమవైపు తిరగండి,edam vaipu tiragandi,বাম দিকে ঘুরুন,bam dike ghurun,ഇടത്തേക്ക് തിരിയുക,idattekku thiriyuka,ಎಡಕ್ಕೆ ತಿರುಗಿ,edakke tirugi,डावीकडे वळा,daavikade vala,ડાબી તરફ વળો,daabi taraf valo,ਖੱਬੇ ਮੁੜੋ,khabbe muro,directions,navigation
27,Turn right,दाएँ मुड़ें,daayen muden,வலது பக்கம் திரும்பவும்,valathu pakkam thirumbavum,కుడివైపు తిరగండి,kudi vaipu tiragandi,ডান দিকে ঘুরুন,dan dike ghurun,വലത്തേക്ക് തിരിയുക,walattekku thiriyuka,ಬಲಕ್ಕೆ ತಿರುಗಿ,balakke tirugi,उजवीकडे वळा,ujvikade vala,જમણી તરફ વળો,jamani taraf valo,ਸੱਜੇ ਮੁੜੋ,sajje muro,directions,navigation
28,Go straight,सीधे जाएँ,seedhe jaayen,நேராக செல்லுங்கள்,neraga sellungal,నేరుగా వెళ్లండి,neruga vellanḍi,সোজা যান,soja jan,നേരെ പോകുക,nere pokuka,ನೋಡಿರಿ ನೇರವಾಗಿ,neravagi nodiri,सरळ जा,saral jaa,સીધા જાઓ,sidha jao,ਸਿੱਧੇ ਜਾਓ,sidhe jao,directions,navigation
29,Stop here,यहीं रुकें,yahin rukey,இங்கே நிறுத்துங்கள்,inge niruthungal,ఇక్కడ ఆపండి,ikkada apandi,এখানে থামুন,ekhane thamun,ഇവിടെ നിർത്തുക,ivide nirttuka,ಇಲ್ಲಿ ನಿಲ್ಲಿ,illi nilli,इथे थांबा,ithe thamba,અહીં રોકો,ahen roko,ਇੱਥੇ ਰੁੱਕੋ,itthe rukko,directions,navigation
30,Call the doctor,डॉक्टर को बुलाइए,doctor ko bulaaiye,டாக்டரை அழைக்கவும்,doctor-ai azaikkavum,డాక్టర్‌ను పిలవండి,doctor-nu pilavandi,ডাক্তার ডাকুন,daktar dakun,ഡോക്ടറെ വിളിക്കൂ,doctor-e vilikoo,ಡಾಕ್ಟರ್ ಅನ್ನು ಕರೆಸಿ,doctor annu karesi,डॉक्टरला बोलवा,doctorla bolva,ડોક્ટરને બોલાવો,doctor-ne bolavo,ਡਾਕਟਰ ਨੂੰ ਬੁਲਾਓ,doctor nu bulao,emergency,emergency
31,This is my friend,यह मेरा दोस्त है,yeh mera dost hai,இவர் என் நண்பர்,ivar en nanbar,ఇతను నా స్నేహితుడు,itanu naa snehitudu,এটি আমার বন্ধু,eti amar bondhu,ഇവൻ എന്റെ സുഹൃത്താണ്,ivan ente suhruthaanu,ಇವನು ನನ್ನ ಸ್ನೇಹಿತ,ivanu nanna snehita,हा माझा मित्र आहे,ha maza mitra aahe,આ મારો મિત્ર છે,aa maro mitra chhe,ਇਹ ਮੇਰਾ ਦੋਸਤ ਹੈ,eh mera dost hai,introduction,introduction
32,I like this,मुझे यह पसंद है,mujhe yeh pasand hai,எனக்கு இது பிடிக்கும்,enakku idhu pidikkum,ఇది నాకు ఇష్టం,idi naaku ishtam,আমার এটা ভাল লাগে,amar eta bhalo lage,എനിക്ക് ഇത് ഇഷ്ടമാണ്,enikku ithu ishtamaanu,ನನಗೆ ಇದು ಇಷ್ಟ,nanage idu ishta,मला हे आवडते,mala he aavadte,મને આ ગમે છે,mane aa game chhe,ਮੈਨੂੰ ਇਹ ਪਸੰਦ ਹੈ,mainu eh pasand hai,opinion,opinion
33,I don't like this,मुझे यह पसंद नहीं है,mujhe yeh pasand nahi hai,எனக்கு இது பிடிக்கவில்லை,enakku idhu pidikkavillai,ఇది నాకు ఇష్టం లేదు,idi naaku ishtam ledu,আমার এটা ভাল লাগে না,amar eta bhalo lage na,എനിക്ക് ഇത് ഇഷ്ടമില്ല,enikku ith ishtamilla,ನನಗೆ ಇದು ಇಷ್ಟವಿಲ್ಲ,nanage idu ishtavilla,मला हे आवडत नाही,mala he aavadat nahi,મને આ નથી ગમતું,mane aa nathi gamtu,ਮੈਨੂੰ ਇਹ ਪਸੰਦ ਨਹੀਂ,mainu eh pasand nahi,opinion,opinion
34,Can you speak slowly?,क्या आप धीरे बोल सकते हैं?,kya aap dheere bol sakte hain?,நீங்கள் மெதுவாக பேச முடியுமா?,neengal methuvaga pesa mudiyuma?,మీరు నెమ్మదిగా మాట్లాడగలరా?,meeru nemmadiga maatladagalarā?,আপনি আস্তে বলতে পারেন?,apni aste bolte paren?,നിങ്ങൾ പതുക്കെ സംസാരിക്കാമോ?,ningal paduukke samsarikamo?,ನೀವು ನಿಧಾನವಾಗಿ ಮಾತನಾಡಿ,neevu nidhaanavaagi maatlaadi,तू हळू बोलशील?,tu halu bolshil?,તમે ધીમે બોલશો?,tame dheeme bolsho?,ਕੀ ਤੁਸੀਂ ਹੌਲੀ ਬੋਲ ਸਕਦੇ ਹੋ?,ki tusi hauli bol sakde ho?,request,conversation
35,What is the price?,इसकी कीमत क्या है?,iski keemat kya hai?,இதின் விலை என்ன?,idhin vilai enna?,దీని ధర ఎంత?,deeni dhara entha?,এর দাম কত?,er dam koto?,ഇതിന്റെ വില എത്ര?,ithinte vila ethra?,ಈದರ ಬೆಲೆ ಎಷ್ಟು?,idara bele eshtu?,याची किंमत किती?,yaachi kimat kiti?,આની કિંમત કેટલી?,aani kimat ketli?,ਇਸ ਦੀ ਕੀਮਤ ਕੀ ਹੈ?,is di keemat ki hai?,shopping,shopping
36,This is expensive,यह महंगा है,yeh mehenga hai,இது விலையுயர்ந்தது,idhu vilaiyuyarnadhu,ఇది ఖరీదైనది,idi khareedainadi,এটা দামী,eta daami,ഇത് വില കുറയുന്നു,idhu vila kuryunnu,ಇದು ದುಬಾರಿ,idu dubari,हे महाग आहे,he mahaag aahe,આ મોંઘું છે,aa monghu chhe,ਇਹ ਮਹਿੰਗਾ ਹੈ,eh mehenga hai,shopping,shopping
37,This is cheap,यह सस्ता है,yeh sasta hai,இது மலிவானது,idhu malivaanadhu,ఇది చవుకది,idi chavukadi,এটা সস্তা,eta sosta,ഇത് വില കുറഞ്ഞത്,idhu vila kuranjathu,ಇದು ಅಗ್ಗ,idu agga,हे स्वस्त आहे,he swast aahe,આ સસ્તુ છે,aa sastu chhe,ਇਹ ਸਸਤਾ ਹੈ,eh sassta hai,shopping,shopping
38,Where is the market?,बाज़ार कहाँ है?,bazaar kahan hai?,மார்க்கெட் எங்கே?,market enge?,మార్కెట్ ఎక్కడ ఉంది?,market ekkada undi?,বাজার কোথায়?,bazar kothay?,മാർക്കറ്റ് എവിടെ?,market evide?,ಮಾರ್ಕೆಟ್ ಎಲ್ಲಿದೆ?,market ellide?,बाजार कुठे आहे?,bazaar kuthe aahe,બજાર ક્યાં છે?,bajar kyan chhe,ਬਾਜ਼ਾਰ ਕਿੱਥੇ ਹੈ?,bazaar kithe hai?,shopping,travel
39,I am learning a new language,मैं नई भाषा सीख रहा हूँ,main nai bhasha seekh raha hoon,நான் ஒரு புதிய மொழி கற்றுக்கொள்கிறேன்,naan oru pudhiya mozhi katrukkogiren,నేను కొత్త భాష నేర్చుకుంటున్నాను,nenu kotta bhasha nerchukuntunnanu,আমি নতুন ভাষা শিখছি,ami notun bhasa shikhchi,ഞാൻ ഒരു പുതിയ ഭാഷ പഠിക്കുകയാണ്,njan oru puthiya bhaasha padikkunnu,ನಾನು ಹೊಸ ಭಾಷೆ ಕಲಿಯುತ್ತಿದ್ದೇನೆ,naanu hosa bhaashe kaliyuttidene,मी नवी भाषा शिकत आहे,mi navi bhaasha shikat aahe,હું નવી ભાષા શીખી રહ્યો છું,hu navi bhaasha shikhi rahyo chhu,ਮੈਂ ਨਵੀਂ ਭਾਸ਼ਾ ਸਿੱਖ ਰਿਹਾ ਹਾਂ,main naveen bhasha sikh riha haan,learning,learning
40,This is delicious,यह स्वादिष्ट है,yeh swaadisht hai,இது ருசிகரமாக உள்ளது,idhu rusikaramaga ulladhu,ఇది రుచిగా ఉంది,idi ruchiga undi,এটা সুস্বাদু,eta suswaadu,ഇത് രുചികരം,idhu ruchikaram,ಇದು ರುಚಿಕರ,idu ruchikara,हे चविष्ट आहे,he chavisht aahe,આ સ્વાદિષ્ટ છે,aa swadisht chhe,ਇਹ ਸੁਆਦੀ ਹੈ,eh swaadi hai,compliment,compliment
41,I am tired,मैं थक गया हूँ,main thak gaya hoon,நான் சோர்ந்து போயுள்ளேன்,naan sorndhu poyullain,నేను అలసిపోయాను,nenu alasipoyanu,আমি ক্লান্ত,ami klanto,ഞാൻ ക്ഷീണിതനാണ്,njan ksheenithanaanu,ನಾನು ದಣಿದಿದ್ದೇನೆ,naanu danididdene,मी थकलो आहे,mi thaklo aahe,હું થાકી ગયો છું,hu thaki gayo chhu,ਮੈਂ ਥੱਕ ਗਿਆ ਹਾਂ,main thakk giya haan,feeling,feeling
42,I am very happy,मैं बहुत खुश हूँ,main bahut khush hoon,நான் மிகவும் மகிழ்ச்சியாக உள்ளேன்,naan migavum magizhchiyaga ullen,నేను చాలా సంతోషంగా ఉన్నాను,nenu chaala santhoshanga unnanu,আমি খুব খুশি,ami khub khushi,ഞാൻ വളരെ സന്തോഷവാനാണ്,njan valare santhoshavaananu,ನಾನು ತುಂಬಾ ಸಂತೋಷವಾಗಿದ್ದೇನೆ,naanu tumba santhoshavagiddene,मी खूप आनंदी आहे,mi khup anandi aahe,હું ખૂબ ખુશ છું,hu khub khush chhu,ਮੈਂ ਬਹੁਤ ਖੁਸ਼ ਹਾਂ,main bahut khush haan,feeling,feeling
43,I am sad,मैं दुखी हूँ,main dukhi hoon,நான் கவலையில் உள்ளேன்,naan kavalayil ullen,నేను బాధగా ఉన్నాను,nenu baadhaga unnanu,আমি দুঃখিত,ami dukkhito,ഞാൻ ദുഃഖിതൻ,njan dukhithan,ನಾನು ದುಃಖಿತನಾಗಿದ್ದೇನೆ,naanu dukkhitanagiddene,मी दुःखी आहे,mi dukhhi aahe,હું દુઃખી છું,hu dukhhi chhu,ਮੈਂ ਦੁਖੀ ਹਾਂ,main dukhi haan,feeling,feeling
44,Please give me a discount,कृपया छूट दें,kripaya chhoot den,தள்ளுபடி தரவும்,thallupadi tharavum,దయచేసి డిస్కౌంట్ ఇవ్వండి,dayachesi discount ivvandi,দয়া করে ছাড় দিন,dooya kore chhar din,ദയവായി ഡിസ്കൗണ്ട് തരൂ,dayavaayi discount tharoo,ದಯವಿಟ್ಟು ರಿಯಾಯಿತಿ ನೀಡಿ,dayavittu riyaayiti nidi,कृपया मला सूट द्या,krupaya mala soot dya,મને ડિસ્કાઉન્ટ આપો,mane discount aapo,ਮੈਨੂੰ ਛੂਟ ਦਿਓ,mainu chhoot dio,shopping,shopping
45,Where is the train station?,रेलवे स्टेशन कहाँ है?,railway station kahan hai?,ரயில் நிலையம் எங்கே?,rayil nilaiyam enge?,రైలు స్టేషన్ ఎక్కడ ఉంది?,railu station ekkada undi?,রেল স্টেশন কোথায়?,rel station kothay?,റയിൽ സ്റ്റേഷൻ എവിടെ?,rayil station evide?,ರೈಲು ನಿಲ್ದಾಣ ಎಲ್ಲಿದೆ?,railu nildana ellide?,रेल्वे स्टेशन कुठे आहे?,railway station kuthe aahe,રેલ્વે સ્ટેશન ક્યાં છે?,railway station kyan chhe,ਰੇਲਵੇ ਸਟੇਸ਼ਨ ਕਿੱਥੇ ਹੈ?,railway station kithe hai?,travel,travel
46,I want to buy this,मैं इसे खरीदना चाहता हूँ,main ise kharidna chahta hoon,நான் இதை வாங்க விரும்புகிறேன்,naan idhai vaanga virumbugiren,నేను దీన్ని కొనాలనుకుంటున్నాను,nenu dinni konalanukuntunnanu,আমি এটি কিনতে চাই,ami eti kin te chai,ഞാൻ ഇത് വാങ്ങാൻ ആഗ്രഹിക്കുന്നു,njan ithu vaangan aagrahikkunnu,ನಾನು ಇದನ್ನು ಕೊಂಡುಕೊಳ್ಳಬೇಕು,naanu idannu kondokollabeku,मला हे घ्यायचं आहे,mala he ghyaayach aahe,મારે આ ખરીદવું છે,mare aa kharidvu chhe,ਮੈਂ ਇਹ ਖਰੀਦਣਾ ਚਾਹੁੰਦਾ ਹਾਂ,main eh khareedna chaahunda haan,shopping,shopping
47,Can you guide me?,क्या आप मेरा मार्गदर्शन कर सकते हैं?,kya aap mera maargdarshan kar sakte hain?,நீங்கள் என்னை வழிகாட்ட முடியுமா?,neengal ennai vazhigaatta mudiyuma?,మీరు నాకు దారి చూపగలరా?,meeru naaku daari choopagalara?,আপনি কি আমাকে পথ দেখাতে পারেন?,apni ki amake poth dekhate paren?,നിങ്ങൾ എന്നെ വഴികാട്ടാമോ?,ningal enne vazhikaattaamo?,ನನ್ನಿಗೆ ದಾರಿ ತೋರಿಸುತ್ತೀರಾ?,nannage daari torisutteera?,तू मला मार्गदर्शन करशील?,tu mala maargdarshan karshil?,તમે મને માર્ગદર્શન આપશો?,tame mane maargdarshan aapsho?,ਕੀ ਤੁਸੀਂ ਮੇਰਾ ਗਾਈਡ ਕਰ ਸਕਦੇ ਹੋ?,ki tusi mera guide kar sakde ho?,request,help
